lat,lng
-902687.9039805133,-3886049.757081745
-906147.6296425734,-3883974.6968797296
-894038.0017273093,-3883758.9276270173
-904085.8133768799,-3883056.8676582016
-905920.2557701579,-3890014.642465934
-900351.4774375589,-3882069.245167706
-898189.7341767114,-3883821.223829504
-906121.007311568,-3889727.8316107388
-898521.3879230918,-3884684.258806975
-898546.7466291586,-3884610.2833822323
-904955.2034672794,-3887659.9483435364
-897547.514423421,-3889654.7386335735
-899534.931940956,-3884724.1738433824
-898154.5493735418,-3885393.2800711147
-900816.9143395999,-3882066.4561032066
-905355.5642603884,-3888040.6733362717
-899810.7968311752,-3883073.9032972227
-900496.8085822213,-3882049.693949271
-898258.408226889,-3884130.4605798316
-899064.3143938141,-3883171.0481988303
-899666.4737471576,-3885072.937544893
-906651.4908714263,-3889666.678099076
-898213.4777245714,-3884498.9442989863
-898628.0302528829,-3884965.333313514
-899787.4471068652,-3885152.4197327364
-907752.0483636955,-3886886.7959562303
-896392.2921582253,-3882680.371980854
-898635.8026910083,-3884176.79785197
-905790.9935892622,-3883780.444311344
-903941.1411722763,-3883012.896449922
-897951.7163779082,-3884397.777421522
-898358.4368448324,-3884333.0540155764
-905117.0846094206,-3883487.6741244365
-898129.8476358713,-3883875.3750918675
-899706.080513267,-3883058.9957019715
-906700.6741634959,-3884317.5608851556
-902417.1882879703,-3886113.541307522
-906101.1525026464,-3883938.332482151
-899407.3658710725,-3882775.390728159
-896363.5997677314,-3882673.706529974
-895435.8049681049,-3882789.23942599
-898481.5543063087,-3885424.0889349943
-900287.0617814377,-3882045.89212616
-899774.7803269804,-3883391.340782429
-898254.2369343188,-3884125.138585332
-898894.787865902,-3882240.223586863
-898672.4765913395,-3882763.507280282
-899178.188844372,-3884471.0707953954
-905369.6739021527,-3887946.2017503455
-898460.6849796136,-3884298.5610121866
-898380.297920649,-3884239.728728695
-898089.1838176285,-3883907.8322322434
-899228.1252435201,-3883291.629741568
-898437.0643806187,-3884504.0115795876
-898119.5213805571,-3884122.246475268
-898780.3625702289,-3884481.9812668464
-895518.0199456536,-3882747.758819805
-905047.1829919305,-3883468.7497859104
-899306.7400466101,-3883931.440089526
-897962.8166444917,-3884414.9938539686
-906251.7876988291,-3889826.2484678254
-899257.6965633063,-3883767.633409084
-900918.0391859162,-3882145.9019517116
-899689.796007361,-3882751.9006526717
-899193.0492707815,-3882331.084087853
-900019.164159812,-3884969.1878472515
-905065.3612138163,-3883462.998234568
-901679.3445592965,-3886057.005797315
-899604.1320330363,-3886636.7874985533
-898174.753696436,-3884177.4242288168
-897963.3646737955,-3884202.635921099
-894112.8657735593,-3883618.888625351
-898589.3892011788,-3883145.0196253117
-898390.872955413,-3885293.8680899744
-899824.9984440688,-3885148.078581593
-898865.0436033485,-3882400.3846508814
-894125.062898681,-3883588.4073487767
